DATE;Holiday;Temperature;Solar_Irradiation;Power;DATE_YYYY_MM_DD;DATE_year;DATE_month_year;DATE_week_year;DATE_day_year;DATE_day_month;DATE_day_week;DATE_hour_year;DATE_hour_week;DATE_hour_day;DATE_weekday;slope_Temp;slope_Irrad;intercept;minimum;Power_fitted;Power_residuals;IS_Outlier
2019-06-10 18:00:00+00:00;True;20.27;129.82;4.0;2019-06-10;2019;6;24;161;10;0;3858;18;18;True;-2.398602507147876;-0.0453993566868522;48.52625223006263;3.986399589761143;3.986399589761143;-0.013600410238856941;False
2019-06-10 19:00:00+00:00;True;19.24;42.11;0.1;2019-06-10;2019;6;24;161;10;0;3859;19;19;True;-2.56084769197343;-0.0458232399922507;47.922171875636;2.201403613720046;2.201403613720046;2.101403613720046;False
2019-06-10 20:00:00+00:00;True;18.35;8.97;3.4;2019-06-10;2019;6;24;161;10;0;3860;20;20;True;-2.28658536578938;-2.0501067674344715;47.11406510880192;0.1987294986264005;0.1987294986264005;-3.2012705013735996;False
2019-06-10 21:00:00+00:00;True;18.05;4.42;0.0;2019-06-10;2019;6;24;161;10;0;3861;21;21;True;-2.828965501531179;-0.767916592446757;48.03469597385886;2.6679881701667685;2.6679881701667685;2.6679881701667685;False
2019-06-10 22:00:00+00:00;True;17.99;1.4;10.1;2019-06-10;2019;6;24;161;10;0;3862;22;22;True;-1.7201503324578475;-6.050746416327863e-10;27.05937584307134;0.9911240004719292;0.9911240004719292;-9.10887599952807;False
2019-06-10 23:00:00+00:00;True;17.65;0.8;0.1;2019-06-10;2019;6;24;161;10;0;3863;23;23;True;-1.7867689609810793;-0.386122922407802;30.104904597623637;1.156797976196278;1.156797976196278;1.056797976196278;False
2019-06-11 00:00:00+00:00;True;17.1;0.4;0.1;2019-06-11;2019;6;24;162;11;1;3864;24;0;True;-2.0835802627932054;-3.5514546547534166e-08;30.37404959483239;0.5655302657020886;0.5655302657020886;0.46553026570208866;False
2019-06-11 01:00:00+00:00;True;16.91;0.22;7.0;2019-06-11;2019;6;24;162;11;1;3865;25;1;True;-2.3605520361434817;-1.4628491425912403e-09;29.216377935665136;2.790293966450816;2.790293966450816;-4.209706033549184;False
2019-06-11 02:00:00+00:00;True;16.53;0.29;5.3;2019-06-11;2019;6;24;162;11;1;3866;26;2;True;-2.0662099903769158;-7.346963386718394e-07;30.13492658247171;6.727957930318846;6.727957930318846;1.427957930318846;False
2019-06-11 03:00:00+00:00;True;16.35;8.06;3.4;2019-06-11;2019;6;24;162;11;1;3867;27;3;True;-2.1730152520583124;-0.4887353809898134;33.23752226966733;0.7634627660130903;0.7634627660130903;-2.6365372339869095;False
2019-06-11 04:00:00+00:00;True;16.17;20.15;0.7;2019-06-11;2019;6;24;162;11;1;3868;28;4;True;-2.071152785438493;-0.1627123544534165;30.601778747883195;0.0850403012360028;0.0850403012360028;-0.6149596987639971;False
