DATE;Holiday;Temperature;Solar_Irradiation;Power;DATE_YYYY_MM_DD;DATE_year;DATE_month_year;DATE_week_year;DATE_day_year;DATE_day_month;DATE_day_week;DATE_hour_year;DATE_hour_week;DATE_hour_day;DATE_weekday;slope_Temp;slope_Irrad;intercept;minimum;Power_fitted;Power_residuals;IS_Outlier
2019-06-17 16:00:00+00:00;True;21.81;237.47;0.1;2019-06-17;2019;6;25;168;17;0;4024;16;16;True;-4.585210706852017;-0.0547766042021317;112.451869433955;2.7978193725532834;2.7978193725532834;2.6978193725532833;False
2019-06-17 17:00:00+00:00;True;21.44;271.2;3.4;2019-06-17;2019;6;25;168;17;0;4025;17;17;True;-4.246211113005102;-0.0929567194459672;95.3070930256013;1.7518552402234475;1.7518552402234475;-1.6481447597765524;False
2019-06-17 18:00:00+00:00;True;21.87;301.86;2.2;2019-06-17;2019;6;25;168;17;0;4026;18;18;True;-2.3986032700930813;-0.044771791114209;48.67779119575746;4.033047657251471;4.033047657251471;1.8330476572514707;False
2019-06-17 19:00:00+00:00;True;21.61;129.18;3.4;2019-06-17;2019;6;25;168;17;0;4027;19;19;True;-2.568399629525074;-0.0453672324721822;47.97082673533836;2.002031384150916;2.002031384150916;-1.3979686158490838;False
2019-06-17 20:00:00+00:00;True;20.15;38.37;0.1;2019-06-17;2019;6;25;168;17;0;4028;20;20;True;-2.2865853654119377;-2.1501168804711432;47.15457424590783;0.2007580246577844;0.2007580246577844;0.10075802465778438;False
2019-06-17 21:00:00+00:00;True;18.7;2.04;8.9;2019-06-17;2019;6;25;168;17;0;4029;21;21;True;-2.828965905876477;-0.7357364531899624;47.935977320578246;2.7012312394193443;2.7012312394193443;-6.198768760580656;False
2019-06-17 22:00:00+00:00;True;17.74;0.81;0.3;2019-06-17;2019;6;25;168;17;0;4030;22;22;True;-1.7201503279464867;-2.320448107043469e-11;26.947933147776617;1.2031584724906172;1.2031584724906172;0.9031584724906172;False
2019-06-17 23:00:00+00:00;True;16.05;0.95;0.1;2019-06-17;2019;6;25;168;17;0;4031;23;23;True;-1.786769044426332;-0.3651160971321284;30.49862046036796;1.5602832508295503;1.5602832508295503;1.4602832508295502;False
2019-06-18 00:00:00+00:00;True;14.55;0.51;0.1;2019-06-18;2019;6;25;169;18;1;4032;24;0;True;-2.0835803192048585;-6.590677623534598e-09;30.355550022640514;0.5218991346825652;0.5218991346825652;0.42189913468256524;False
2019-06-18 01:00:00+00:00;True;13.84;0.31;8.5;2019-06-18;2019;6;25;169;18;1;4033;25;1;True;-2.360552024107212;-4.057206443323426e-09;29.262739379951384;2.755579581107221;2.755579581107221;-5.744420418892779;False
2019-06-18 02:00:00+00:00;True;13.31;3.98;6.6;2019-06-18;2019;6;25;169;18;1;4034;26;2;True;-2.0662100451122067;-1.5436226599664833e-08;30.0876623881432;6.651294912842696;6.651294912842696;0.05129491284269605;False
