DATE_YYYY_MM_DD;cluster
2019-06-03;2
2019-06-04;2
2019-06-05;2
2019-06-06;2
2019-06-07;2
2019-06-08;1
2019-06-09;1
2019-06-10;2
2019-06-11;0
2019-06-12;2
2019-06-13;0
2019-06-14;2
2019-06-15;2
2019-06-16;2
2019-06-18;2
2019-06-19;2
2019-06-20;2
2019-06-21;2
2019-06-22;1
2019-06-23;1
2019-06-24;2
2019-06-25;2
2019-06-26;2
2019-06-28;2
2019-06-29;2
2019-06-30;2
2019-07-01;1
2019-07-02;2
2019-07-03;2
2019-07-04;2
2019-07-05;2
2019-07-06;2
2019-07-07;2
2019-07-09;2
2019-07-10;2
2019-07-12;2
2019-07-13;1
2019-07-15;2
2019-07-16;2
2019-07-17;2
2019-07-18;2
2019-07-19;2
2019-07-25;2
2019-07-30;2
2019-07-31;2
2019-08-01;2
2019-08-02;2
2019-08-04;2
2019-08-05;2
2019-08-06;2
2019-08-10;2
2019-08-11;2
2019-08-12;2
2019-08-13;2
2019-08-14;2
2019-08-18;2
2019-08-19;1
2019-08-22;2
2019-08-23;2
2019-08-24;2
2019-08-25;2
2019-08-26;1
2019-08-27;2
2019-08-28;2
2019-08-29;2
2019-08-30;2
2019-08-31;2
2019-09-01;2
2019-09-02;2
2019-09-03;2
2019-09-04;2
2019-09-05;2
2019-09-06;2
2019-09-07;2
2019-09-08;2
2019-09-09;2
2019-09-10;2
2019-09-11;1
2019-09-12;1
2019-09-13;2
2019-09-14;2
2019-09-15;1
2019-09-16;1
2019-09-17;1
2019-09-18;0
2019-09-19;0
2019-09-20;2
2019-09-21;1
2019-09-22;1
2019-09-23;0
2019-09-24;0
2019-09-25;0
2019-09-26;0
2019-09-27;0
2019-09-28;1
2019-10-01;0
2019-10-02;0
2019-10-03;0
2019-10-04;0
2019-10-05;1
2019-10-06;1
2019-10-07;0
2019-10-08;0
2019-10-23;0
2019-10-24;0
2019-10-25;0
2019-10-26;1
2019-10-27;1
2019-10-28;0
2019-10-29;0
2019-10-30;0
2019-10-31;0
2019-11-01;0
2019-11-02;1
2019-11-03;1
2019-11-04;0
2019-11-05;0
2019-11-06;0
2019-11-07;0
2019-11-08;0
2019-11-09;1
2019-11-10;1
2019-11-11;0
2019-11-12;0
2019-11-13;0
2019-11-14;0
2019-11-15;0
2019-11-16;1
2019-11-17;1
2019-11-18;0
2019-11-19;0
2019-11-20;0
2019-11-21;0
2019-11-22;0
2019-11-23;1
2019-11-24;1
2019-11-25;0
2019-11-26;0
2019-11-27;0
2019-11-28;0
2019-11-29;0
2019-11-30;1
2019-12-01;1
2019-12-02;0
2019-12-03;0
2019-12-04;0
2019-12-05;0
2019-12-06;0
2019-12-07;1
2019-12-08;1
2019-12-09;0
2019-12-10;0
2019-12-11;0
2019-12-12;0
2019-12-13;0
2019-12-15;1
2019-12-16;0
2019-12-17;0
2019-12-18;0
2019-12-19;0
2019-12-20;2
2019-12-21;2
2019-12-22;2
2019-12-23;2
2019-12-24;2
2019-12-25;2
2019-12-26;2
2019-12-27;2
2019-12-28;2
2019-12-29;2
2019-12-30;2
