ClusterHour;slope_Temp;slope_Irrad;intercept;minimum
114;-2.0705477476967404;-0.019547264282236732;44.543500745930956;3.425901653738948
115;-2.1928318417312047;-3.373151918866841e-07;42.22565391222293;0.10059282135311903
116;-2.17574396406461;-0.02285722641344252;45.41391411779345;4.013267513893621
117;-2.348463450521321;-0.009722807037489432;44.77522727678526;11.030125519427383
118;-2.42876871628963;-0.31464046426136516;45.09350713102068;11.748045125436805
119;-2.306788120400284;-0.24464115487601576;43.606378224850005;8.55953886876023
120;-2.5335827543150105;-1.0069608207371028;43.2389189037916;2.404290784530515
121;-2.5775133100671064;-1.8219992245110037;46.79275799500619;12.101147716012216
122;-2.5560975592226307;-2.088388155374002;35.21771754453951;3.3644230812965996
123;-2.4717232072890236;-0.5502940754259914;32.808086996463395;0.595118846123799
200;-1.9774269621992628;-0.8599087127013373;30.957429679270923;0.10508487975917648
201;-2.3386946097774604;-0.2807000540146637;31.928115124087796;1.680664097194295
202;-2.1572259017572066;-0.9296249664190609;33.46498668394697;4.508858082634559
203;-1.991890586088653;-1.356700580381292;35.285405923278866;1.1877751329962882
204;-2.238111987881778;-0.0449346542341547;33.40942718263038;3.830106255211317
205;-2.0848048729447384;-0.01740403666529037;30.667313621552033;1.4934797296711437
206;-1.7869685171527083;-2.945973714496505e-08;33.35837449019277;9.05024573102369
207;-2.498450023514078;-0.031064347640454088;49.919461066298574;5.034998203437189
208;-2.453044178533616;-4.778299054956155e-09;46.072200726340185;1.9136827269059498
209;-1.7865564858040286;-1.6472360187758526e-07;41.0886998074993;8.845574059145259
210;-1.46047799933016;-1.3103546397322995e-09;38.49983006228936;10.025306731052783
211;-1.869958798626004;-5.118038938732481e-14;37.48844295046298;0.9353774929293933
212;-1.498145421940885;-2.509770615963579e-10;37.149400027006706;6.413162020380532
213;-1.4477530944990524;-0.001676210980384491;36.98158877286431;0.318568865812461
214;-1.7076430635870463;-1.3504813638677133e-07;36.187495489322124;3.5193553507556263
215;-1.5619878080041782;-2.6185511223848e-11;34.35552216908579;2.292594936341634
216;-1.556047115484894;-2.2950417467252e-05;34.7488542979113;1.1866616764384406
217;-1.4715359478810444;-2.5534280493872494e-12;32.55467406040445;0.1005060276949112
218;-1.471645878921081;-0.07647029447050524;35.15465103639881;1.4018823312638646
219;-1.5043018228475689;-0.21606991858585026;34.628538891361146;2.3637876450439466
220;-1.2808160707780512;-0.9901607925575675;31.84084487661872;0.10125132900449037
221;-1.444312047831493;-2.5538866879043645;36.173809058504304;2.5516671923913368
222;-1.1547909760200445;-2.735597845352779e-06;20.575130404960934;0.10413344365463148
223;-1.1989876621279594;-0.0013142094073824984;23.037645383511006;2.3726048934291897
300;-1.2900469559107524;-3.637188531301118e-08;21.370380313848482;1.4984791012052094
301;-1.4332019033413075;-3.2877089028441693e-07;18.7856529808529;2.7711216551491655
302;-1.8705715610068765;-5.0080426426765036e-08;24.705841548075195;2.0305754764919763
303;-1.2920268972127806;-0.11335393697823043;19.418812180913267;2.401172902002867
304;-1.7401841916087482;-0.39459221388027177;24.707355773272067;1.6061959335328118
305;-1.559542568163958;-0.14369828275073424;23.73094017472691;2.4398346267689717
306;-1.6086955394616524;-0.10705395490347823;23.928971061831557;1.3713247348905677
307;-1.5155078115156846;-0.07481790108090124;26.02182862717194;0.7751875855185809
308;-1.1509146341462202;-0.03745918135516732;23.964595443066983;3.302149651746993
309;-1.6389778065191698;-0.003934708866563686;27.256702809678398;0.9945868597124119
310;-2.1501551455832155;-0.06609461648706132;30.783045309759515;1.239644415914813
